Fecha	Concepto
2020-06-29	BAJO
2020-06-30	BAJO
2020-07-01	BAJO
2020-07-02	BAJO
2020-07-06	BAJO
2020-07-07	BAJO
2020-07-08	BAJO
2020-07-09	BAJO
2020-07-10	BAJO
2020-07-13	BAJO
2020-07-14	BAJO
2020-07-15	BAJO
2020-07-16	BAJO
2020-07-17	BAJO
2020-07-20	BAJO
2020-07-21	BAJO
2020-07-22	BAJO
2020-07-23	BAJO
2020-07-24	BAJO
2020-07-27	BAJO
2020-07-28	BAJO
2020-07-29	BAJO
2020-07-30	BAJO
2020-07-31	BAJO
2020-08-03	BAJO
2020-08-04	BAJO
2020-08-05	BAJO
2020-08-06	BAJO
2020-08-07	BAJO
2020-08-10	BAJO
2020-08-11	BAJO
2020-08-12	BAJO
2020-08-13	BAJO
2020-08-14	BAJO
2020-08-17	BAJO
2020-08-18	BAJO
2020-08-19	BAJO
2020-08-20	BAJO
2020-08-21	BAJO
2020-08-24	BAJO
2020-08-25	BAJO
2020-08-26	BAJO
2020-08-27	BAJO
2020-08-28	BAJO
2020-08-31	BAJO
2020-09-01	BAJO
2020-09-02	BAJO
2020-09-03	BAJO
2020-09-04	BAJO
2020-09-08	BAJO
2020-09-09	BAJO
2020-09-10	BAJO
2020-09-11	BAJO
2020-09-14	BAJO
2020-09-15	BAJO
2020-09-16	BAJO
2020-09-17	BAJO
2020-09-18	BAJO
2020-09-21	BAJO
2020-09-22	BAJO
2020-09-23	BAJO
2020-09-24	BAJO
2020-09-25	BAJO
2020-09-28	BAJO
2020-09-29	BAJO
2020-09-30	BAJO
2020-10-01	BAJO
2020-10-02	BAJO
2020-10-05	BAJO
2020-10-06	BAJO
2020-10-07	BAJO
2020-10-08	BAJO
2020-10-09	BAJO
2020-10-12	BAJO
2020-10-13	BAJO
2020-10-14	BAJO
2020-10-15	BAJO
2020-10-16	BAJO
2020-10-19	BAJO
2020-10-20	BAJO
2020-10-21	BAJO
2020-10-22	BAJO
2020-10-23	BAJO
2020-10-26	BAJO
2020-10-27	BAJO
2020-10-28	BAJO
2020-10-29	BAJO
2020-10-30	BAJO
2020-11-02	BAJO
2020-11-03	BAJO
2020-11-04	BAJO
2020-11-05	BAJO
2020-11-06	BAJO
2020-11-09	BAJO
2020-11-10	BAJO
2020-11-11	BAJO
2020-11-12	BAJO
2020-11-13	BAJO
2020-11-16	BAJO
2020-11-17	BAJO
2020-11-18	BAJO
2020-11-19	BAJO
2020-11-20	BAJO
2020-11-23	BAJO
2020-11-24	BAJO
2020-11-25	BAJO
2020-11-27	BAJO
2020-11-30	BAJO
2020-12-01	BAJO
2020-12-02	BAJO
2020-12-03	BAJO
2020-12-04	BAJO
2020-12-07	BAJO
2020-12-08	BAJO
2020-12-09	BAJO
2020-12-10	BAJO
2020-12-11	BAJO
2020-12-14	BAJO
2020-12-15	BAJO
2020-12-16	BAJO
2020-12-17	BAJO
2020-12-18	BAJO
2020-12-21	BAJO
2020-12-22	BAJO
2020-12-23	BAJO
2020-12-24	BAJO
2020-12-28	BAJO
2020-12-29	BAJO
2020-12-30	BAJO
2020-12-31	BAJO
2021-01-04	BAJO
2021-01-05	BAJO
2021-01-06	BAJO
2021-01-07	BAJO
2021-01-08	BAJO
2021-01-11	BAJO
2021-01-12	BAJO
2021-01-13	BAJO
2021-01-14	BAJO
2021-01-15	BAJO
2021-01-19	BAJO
2021-01-20	BAJO
2021-01-21	BAJO
2021-01-22	BAJO
2021-01-25	BAJO
2021-01-26	BAJO
2021-01-27	BAJO
2021-01-28	BAJO
2021-01-29	BAJO
2021-02-01	BAJO
2021-02-02	BAJO
2021-02-03	BAJO
2021-02-04	BAJO
2021-02-05	BAJO
2021-02-08	BAJO
2021-02-09	BAJO
2021-02-10	BAJO
2021-02-11	BAJO
2021-02-12	BAJO
2021-02-16	BAJO
2021-02-17	BAJO
2021-02-18	BAJO
2021-02-19	BAJO
2021-02-22	BAJO
2021-02-23	BAJO
2021-02-24	BAJO
2021-02-25	BAJO
2021-02-26	BAJO
2021-03-01	BAJO
2021-03-02	BAJO
2021-03-03	BAJO
2021-03-04	BAJO
2021-03-05	BAJO
2021-03-08	BAJO
2021-03-09	BAJO
2021-03-10	BAJO
2021-03-11	BAJO
2021-03-12	BAJO
2021-03-15	BAJO
2021-03-16	BAJO
2021-03-17	BAJO
2021-03-18	BAJO
2021-03-19	BAJO
2021-03-22	BAJO
2021-03-23	BAJO
2021-03-24	BAJO
2021-03-25	BAJO
2021-03-26	BAJO
2021-03-29	BAJO
2021-03-30	BAJO
2021-03-31	BAJO
2021-04-01	BAJO
2021-04-05	BAJO
2021-04-06	BAJO
2021-04-07	BAJO
2021-04-08	BAJO
2021-04-09	BAJO
2021-04-12	BAJO
2021-04-13	BAJO
2021-04-14	BAJO
2021-04-15	BAJO
2021-04-16	BAJO
2021-04-19	BAJO
2021-04-20	BAJO
2021-04-21	BAJO
2021-04-22	BAJO
2021-04-23	BAJO
2021-04-26	BAJO
2021-04-27	BAJO
2021-04-28	BAJO
2021-04-29	BAJO
2021-04-30	BAJO
2021-05-03	BAJO
2021-05-04	BAJO
2021-05-05	BAJO
2021-05-06	BAJO
2021-05-07	BAJO
2021-05-10	BAJO
2021-05-11	BAJO
2021-05-12	BAJO
2021-05-13	BAJO
2021-05-14	BAJO
2021-05-17	BAJO
2021-05-18	BAJO
2021-05-19	BAJO
2021-05-20	BAJO
2021-05-21	BAJO
2021-05-24	BAJO
2021-05-25	BAJO
2021-05-26	BAJO
2021-05-27	BAJO
2021-05-28	BAJO
2021-06-01	BAJO
2021-06-02	BAJO
2021-06-03	BAJO
2021-06-04	BAJO
2021-06-07	BAJO
2021-06-08	BAJO
2021-06-09	BAJO
2021-06-10	BAJO
2021-06-11	BAJO
2021-06-14	BAJO
2021-06-15	BAJO
2021-06-16	BAJO
2021-06-17	BAJO
2021-06-18	BAJO
2021-06-21	BAJO
2021-06-22	BAJO
2021-06-23	BAJO
2021-06-24	BAJO
2021-06-25	BAJO
